,Unnamed: 0,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant
0,0,MenuItem,Burger Miami,Offer,10.95,EUR,Plato,8.4,"""Americano""","""Calle de Silvano","""geo"":{""latitude"":40.4624843,""longitude"":-3.6378318",Tony Roma´s - Silvano
1,1,MenuItem,Roma Burger desde 1994,Offer,10.95,EUR,Plato,8.4,"""Americano""","""Calle de Silvano","""geo"":{""latitude"":40.4624843,""longitude"":-3.6378318",Tony Roma´s - Silvano
2,2,MenuItem,Guacamole Burguer,Offer,9.95,EUR,Plato,8.4,"""Americano""","""Calle de Silvano","""geo"":{""latitude"":40.4624843,""longitude"":-3.6378318",Tony Roma´s - Silvano
3,3,MenuItem,Burger Ribs,Offer,10.95,EUR,Plato,8.4,"""Americano""","""Calle de Silvano","""geo"":{""latitude"":40.4624843,""longitude"":-3.6378318",Tony Roma´s - Silvano
4,4,MenuItem,Empire Burger,Offer,11.95,EUR,Plato,8.4,"""Americano""","""Calle de Silvano","""geo"":{""latitude"":40.4624843,""longitude"":-3.6378318",Tony Roma´s - Silvano
5,5,MenuItem,Burger Crispy Chicken,Offer,9.95,EUR,Plato,8.4,"""Americano""","""Calle de Silvano","""geo"":{""latitude"":40.4624843,""longitude"":-3.6378318",Tony Roma´s - Silvano
6,6,MenuItem,Goat Cheese Burguer,Offer,10.45,EUR,Plato,8.4,"""Americano""","""Calle de Silvano","""geo"":{""latitude"":40.4624843,""longitude"":-3.6378318",Tony Roma´s - Silvano
7,7,MenuItem,Chuletón 900 gr. (para 2 personas),Offer,35.9,EUR,Plato,8.4,"""Americano""","""Calle de Silvano","""geo"":{""latitude"":40.4624843,""longitude"":-3.6378318",Tony Roma´s - Silvano
8,8,MenuItem,Entrecotte,Offer,18.95,EUR,Plato,8.4,"""Americano""","""Calle de Silvano","""geo"":{""latitude"":40.4624843,""longitude"":-3.6378318",Tony Roma´s - Silvano
9,9,MenuItem,Medallón Solomillo 210 gr.,Offer,19.95,EUR,Plato,8.4,"""Americano""","""Calle de Silvano","""geo"":{""latitude"":40.4624843,""longitude"":-3.6378318",Tony Roma´s - Silvano
10,10,MenuItem,Barbecued Chicken,Offer,8.95,EUR,Plato,8.4,"""Americano""","""Calle de Silvano","""geo"":{""latitude"":40.4624843,""longitude"":-3.6378318",Tony Roma´s - Silvano
11,11,MenuItem,Pechugas Asadas,Offer,9.95,EUR,Plato,8.4,"""Americano""","""Calle de Silvano","""geo"":{""latitude"":40.4624843,""longitude"":-3.6378318",Tony Roma´s - Silvano
12,12,MenuItem,Pollo Frito,Offer,9.95,EUR,Plato,8.4,"""Americano""","""Calle de Silvano","""geo"":{""latitude"":40.4624843,""longitude"":-3.6378318",Tony Roma´s - Silvano
13,13,MenuItem,Baby Back ¡+60 premios internacionales!,Offer,16.95,EUR,Plato,8.4,"""Americano""","""Calle de Silvano","""geo"":{""latitude"":40.4624843,""longitude"":-3.6378318",Tony Roma´s - Silvano
14,14,MenuItem,Costillas ST. Louis Carolina,Offer,18.95,EUR,Plato,8.4,"""Americano""","""Calle de Silvano","""geo"":{""latitude"":40.4624843,""longitude"":-3.6378318",Tony Roma´s - Silvano
15,15,MenuItem,Costillas de Ternera (2uds),Offer,16.95,EUR,Plato,8.4,"""Americano""","""Calle de Silvano","""geo"":{""latitude"":40.4624843,""longitude"":-3.6378318",Tony Roma´s - Silvano
